Date;Heure;Position;Vitesse bateau;Vitesse fond;Cap fond;Vitesse du vent;Direction du vent;Angle de vent reel;Pression atmospherique
14/09/2022;13:41:00;4822.635,N,00429.408,W;0.03;0.03;29;7.4;343;62;0.00
14/09/2022;13:42:00;4822.635,N,00429.407,W;0.01;0.01;17;4.7;47;127;0.00
14/09/2022;13:43:00;4822.635,N,00429.407,W;0.01;0.01;17;4.2;19;98;0.00
14/09/2022;13:44:00;4822.637,N,00429.406,W;0.01;0.01;4;5.7;331;50;0.00
14/09/2022;13:45:00;4822.636,N,00429.405,W;0.00;0.00;4;3.0;8;87;0.00
14/09/2022;13:46:00;4822.635,N,00429.406,W;0.01;0.01;5;5.9;5;84;0.00
14/09/2022;13:47:00;4822.634,N,00429.407,W;0.01;0.01;357;5.9;19;97;0.00
14/09/2022;13:48:00;4822.635,N,00429.405,W;0.01;0.01;353;6.0;70;149;0.00
14/09/2022;13:49:00;4822.636,N,00429.405,W;0.06;0.06;338;6.6;58;138;0.00
14/09/2022;13:50:00;4822.635,N,00429.405,W;0.01;0.01;340;8.8;19;99;0.00
